Year,Era,NOC,Country_Name,Is_Host,Athlete_Count,Sports_Participated_Count,Events_Participated_Count,Global_Total_Events,Gold,Total_Medals,Gold_Share,Medal_Share
2024,Maturity,USA,United States,0,619,47,234,738.0,40.0,126.0,0.1219512195121951,0.1212704523580365
2024,Maturity,CHN,China,0,396,42,211,738.0,40.0,91.0,0.1219512195121951,0.0875842155919153
2024,Maturity,GBR,Great Britain,0,343,33,174,738.0,14.0,65.0,0.0426829268292682,0.0625601539942252
2024,Maturity,FRA,France,1,601,46,223,738.0,16.0,64.0,0.048780487804878,0.0615976900866217
2024,Maturity,AUS,Australia,0,474,44,205,738.0,18.0,53.0,0.0548780487804878,0.0510105871029836
2024,Maturity,JPN,Japan,0,430,41,166,738.0,20.0,45.0,0.0609756097560975,0.0433108758421559
2024,Maturity,ITA,Italy,0,397,39,205,738.0,12.0,40.0,0.0365853658536585,0.0384985563041385
2024,Maturity,NED,Netherlands,0,288,32,132,738.0,15.0,34.0,0.0457317073170731,0.0327237728585178
2024,Maturity,GER,Germany,0,457,42,196,738.0,12.0,33.0,0.0365853658536585,0.0317613089509143
2024,Maturity,KOR,South Korea,0,147,23,104,738.0,13.0,32.0,0.0396341463414634,0.0307988450433108
2024,Maturity,CAN,Canada,0,332,40,172,738.0,9.0,27.0,0.0274390243902439,0.0259865255052935
2024,Maturity,BRA,Brazil,0,289,38,146,738.0,3.0,20.0,0.0091463414634146,0.0192492781520692
2024,Maturity,NZL,New Zealand,0,208,27,100,738.0,10.0,20.0,0.0304878048780487,0.0192492781520692
2024,Maturity,HUN,Hungary,0,177,24,114,738.0,6.0,19.0,0.0182926829268292,0.0182868142444658
2024,Maturity,ESP,Spain,0,400,39,150,738.0,5.0,18.0,0.0152439024390243,0.0173243503368623
2024,Maturity,UZB,Uzbekistan,0,88,17,68,738.0,8.0,13.0,0.024390243902439,0.012512030798845
2024,Maturity,IRI,Iran,0,41,14,38,738.0,3.0,12.0,0.0091463414634146,0.0115495668912415
2024,Maturity,UKR,Ukraine,0,141,25,101,738.0,3.0,12.0,0.0091463414634146,0.0115495668912415
2024,Maturity,KEN,Kenya,0,74,6,24,738.0,4.0,11.0,0.0121951219512195,0.0105871029836381
2024,Maturity,SWE,Sweden,0,125,21,81,738.0,4.0,11.0,0.0121951219512195,0.0105871029836381
2024,Maturity,BEL,Belgium,0,177,25,93,738.0,3.0,10.0,0.0091463414634146,0.0096246390760346
2024,Maturity,POL,Poland,0,226,28,134,738.0,1.0,10.0,0.0030487804878048,0.0096246390760346
2024,Maturity,CUB,Cuba,0,61,16,52,738.0,2.0,9.0,0.0060975609756097,0.0086621751684311
2024,Maturity,DEN,Denmark,0,128,24,60,738.0,2.0,9.0,0.0060975609756097,0.0086621751684311
2024,Maturity,ROU,Romania,0,96,18,57,738.0,3.0,9.0,0.0091463414634146,0.0086621751684311
2024,Maturity,GRE,Greece,0,100,17,54,738.0,1.0,8.0,0.0030487804878048,0.0076997112608277
2024,Maturity,NOR,Norway,0,109,21,58,738.0,4.0,8.0,0.0121951219512195,0.0076997112608277
2024,Maturity,SUI,Switzerland,0,137,22,94,738.0,1.0,8.0,0.0030487804878048,0.0076997112608277
2024,Maturity,TUR,Turkey,0,101,19,85,738.0,0.0,8.0,0.0,0.0076997112608277
2024,Maturity,AZE,Azerbaijan,0,48,15,41,738.0,2.0,7.0,0.0060975609756097,0.0067372473532242
2024,Maturity,BUL,Bulgaria,0,46,16,53,738.0,3.0,7.0,0.0091463414634146,0.0067372473532242
2024,Maturity,CRO,Croatia,0,73,16,43,738.0,2.0,7.0,0.0060975609756097,0.0067372473532242
2024,Maturity,GEO,Georgia,0,28,9,30,738.0,3.0,7.0,0.0091463414634146,0.0067372473532242
2024,Maturity,IRL,Ireland,0,143,17,75,738.0,4.0,7.0,0.0121951219512195,0.0067372473532242
2024,Maturity,ISR,Israel,0,89,20,68,738.0,1.0,7.0,0.0030487804878048,0.0067372473532242
2024,Maturity,KAZ,Kazakhstan,0,79,23,82,738.0,1.0,7.0,0.0030487804878048,0.0067372473532242
2024,Maturity,TPE,Chinese Taipei,0,60,17,47,738.0,2.0,7.0,0.0060975609756097,0.0067372473532242
2024,Maturity,IND,India,0,112,16,63,738.0,0.0,6.0,0.0,0.0057747834456207
2024,Maturity,JAM,Jamaica,0,65,4,31,738.0,1.0,6.0,0.0030487804878048,0.0057747834456207
2024,Maturity,KGZ,Kyrgyzstan,0,16,5,17,738.0,0.0,6.0,0.0,0.0057747834456207
2024,Maturity,PRK,North Korea,0,14,7,16,738.0,0.0,6.0,0.0,0.0057747834456207
2024,Maturity,RSA,South Africa,0,141,24,66,738.0,1.0,6.0,0.0030487804878048,0.0057747834456207
2024,Maturity,THA,Thailand,0,52,18,45,738.0,1.0,6.0,0.0030487804878048,0.0057747834456207
2024,Maturity,AUT,Austria,0,84,26,76,738.0,2.0,5.0,0.0060975609756097,0.0048123195380173
2024,Maturity,CZE,Czech Republic,0,111,27,94,738.0,3.0,5.0,0.0091463414634146,0.0048123195380173
2024,Maturity,ECU,Ecuador,0,40,14,32,738.0,1.0,5.0,0.0030487804878048,0.0048123195380173
2024,Maturity,MEX,Mexico,0,108,29,83,738.0,0.0,5.0,0.0,0.0048123195380173
2024,Maturity,SRB,Serbia,0,114,16,47,738.0,3.0,5.0,0.0091463414634146,0.0048123195380173
2024,Maturity,ARM,Armenia,0,15,7,16,738.0,0.0,4.0,0.0,0.0038498556304138
2024,Maturity,BRN,Bahrain,0,14,5,13,738.0,2.0,4.0,0.0060975609756097,0.0038498556304138
2024,Maturity,COL,Colombia,0,88,24,61,738.0,0.0,4.0,0.0,0.0038498556304138
2024,Maturity,ETH,Ethiopia,0,33,2,13,738.0,1.0,4.0,0.0030487804878048,0.0038498556304138
2024,Maturity,HKG,Hong Kong,0,34,13,32,738.0,2.0,4.0,0.0060975609756097,0.0038498556304138
2024,Maturity,LTU,Lithuania,0,51,14,42,738.0,0.0,4.0,0.0,0.0038498556304138
2024,Maturity,MDA,Moldova,0,26,10,27,738.0,0.0,4.0,0.0,0.0038498556304138
2024,Maturity,PHI,Philippines,0,22,9,31,738.0,2.0,4.0,0.0060975609756097,0.0038498556304138
2024,Maturity,POR,Portugal,0,75,19,65,738.0,1.0,4.0,0.0030487804878048,0.0038498556304138
2024,Maturity,ALG,Algeria,0,46,15,47,738.0,2.0,3.0,0.0060975609756097,0.0028873917228103
2024,Maturity,ARG,Argentina,0,143,25,41,738.0,1.0,3.0,0.0030487804878048,0.0028873917228103
2024,Maturity,DOM,Dominican Republic,0,59,13,27,738.0,1.0,3.0,0.0030487804878048,0.0028873917228103
2024,Maturity,EGY,Egypt,0,155,26,89,738.0,1.0,3.0,0.0030487804878048,0.0028873917228103
2024,Maturity,INA,Indonesia,0,29,12,25,738.0,2.0,3.0,0.0060975609756097,0.0028873917228103
2024,Maturity,SLO,Slovenia,0,94,17,54,738.0,2.0,3.0,0.0060975609756097,0.0028873917228103
2024,Maturity,TJK,Tajikistan,0,14,6,14,738.0,0.0,3.0,0.0,0.0028873917228103
2024,Maturity,TUN,Tunisia,0,26,15,29,738.0,1.0,3.0,0.0030487804878048,0.0028873917228103
2024,Maturity,ALB,Albania,0,8,4,9,738.0,0.0,2.0,0.0,0.0019249278152069
2024,Maturity,BOT,Botswana,0,14,2,9,738.0,1.0,2.0,0.0030487804878048,0.0019249278152069
2024,Maturity,CHI,Chile,0,48,22,34,738.0,1.0,2.0,0.0030487804878048,0.0019249278152069
2024,Maturity,GRN,Grenada,0,6,2,6,738.0,0.0,2.0,0.0,0.0019249278152069
2024,Maturity,GUA,Guatemala,0,16,7,14,738.0,1.0,2.0,0.0030487804878048,0.0019249278152069
2024,Maturity,KOS,Kosovo,0,9,4,9,738.0,0.0,2.0,0.0,0.0019249278152069
2024,Maturity,LCA,Saint Lucia,0,4,3,5,738.0,1.0,2.0,0.0030487804878048,0.0019249278152069
2024,Maturity,MAR,Morocco,0,61,21,35,738.0,1.0,2.0,0.0030487804878048,0.0019249278152069
2024,Maturity,MAS,Malaysia,0,26,11,23,738.0,0.0,2.0,0.0,0.0019249278152069
2024,Maturity,PUR,Puerto Rico,0,51,13,30,738.0,0.0,2.0,0.0,0.0019249278152069
2024,Maturity,UGA,Uganda,0,25,4,16,738.0,1.0,2.0,0.0030487804878048,0.0019249278152069
2024,Maturity,CIV,Cote d'Ivoire,0,13,4,11,738.0,0.0,1.0,0.0,0.0009624639076034
2024,Maturity,CPV,Cape Verde,0,7,5,7,738.0,0.0,1.0,0.0,0.0009624639076034
2024,Maturity,CYP,Cyprus,0,15,9,23,738.0,0.0,1.0,0.0,0.0009624639076034
2024,Maturity,DMA,Dominica,0,4,2,4,738.0,1.0,1.0,0.0030487804878048,0.0009624639076034
2024,Maturity,EOR,EOR,0,37,13,39,738.0,0.0,1.0,0.0,0.0009624639076034
2024,Maturity,FIJ,Fiji,0,36,7,11,738.0,0.0,1.0,0.0,0.0009624639076034
2024,Maturity,JOR,Jordan,0,12,6,13,738.0,0.0,1.0,0.0,0.0009624639076034
2024,Maturity,MGL,Mongolia,0,32,9,37,738.0,0.0,1.0,0.0,0.0009624639076034
2024,Maturity,PAK,Pakistan,0,7,3,9,738.0,1.0,1.0,0.0030487804878048,0.0009624639076034
2024,Maturity,PAN,Panama,0,8,6,13,738.0,0.0,1.0,0.0,0.0009624639076034
2024,Maturity,PER,Peru,0,26,10,21,738.0,0.0,1.0,0.0,0.0009624639076034
2024,Maturity,QAT,Qatar,0,13,5,10,738.0,0.0,1.0,0.0,0.0009624639076034
2024,Maturity,SGP,Singapore,0,23,11,24,738.0,0.0,1.0,0.0,0.0009624639076034
2024,Maturity,SVK,Slovakia,0,28,13,31,738.0,0.0,1.0,0.0,0.0009624639076034
2024,Maturity,ZAM,Zambia,0,31,5,8,738.0,0.0,1.0,0.0,0.0009624639076034
2024,Maturity,AFG,Afghanistan,0,6,4,6,738.0,0.0,0.0,0.0,0.0
2024,Maturity,AND,Andorra,0,2,2,4,738.0,0.0,0.0,0.0,0.0
2024,Maturity,ANG,Angola,0,25,7,10,738.0,0.0,0.0,0.0,0.0
2024,Maturity,ANT,Antigua and Barbuda,0,5,3,5,738.0,0.0,0.0,0.0,0.0
2024,Maturity,ARU,Aruba,0,6,4,7,738.0,0.0,0.0,0.0,0.0
2024,Maturity,ASA,American Samoa,0,2,2,2,738.0,0.0,0.0,0.0,0.0
2024,Maturity,BAH,Bahamas,0,19,2,13,738.0,0.0,0.0,0.0,0.0
2024,Maturity,BAN,Bangladesh,0,5,4,5,738.0,0.0,0.0,0.0,0.0
2024,Maturity,BAR,Barbados,0,4,3,4,738.0,0.0,0.0,0.0,0.0
2024,Maturity,BDI,Burundi,0,7,3,7,738.0,0.0,0.0,0.0,0.0
2024,Maturity,BEN,Benin,0,5,3,5,738.0,0.0,0.0,0.0,0.0
2024,Maturity,BER,Bermuda,0,8,5,7,738.0,0.0,0.0,0.0,0.0
2024,Maturity,BHU,Bhutan,0,3,3,3,738.0,0.0,0.0,0.0,0.0
2024,Maturity,BIH,Bosnia and Herzegovina,0,5,3,6,738.0,0.0,0.0,0.0,0.0
2024,Maturity,BIZ,Belize,0,1,1,1,738.0,0.0,0.0,0.0,0.0
2024,Maturity,BOL,Bolivia,0,4,2,4,738.0,0.0,0.0,0.0,0.0
2024,Maturity,BRU,Brunei,0,3,2,3,738.0,0.0,0.0,0.0,0.0
2024,Maturity,BUR,Burkina Faso,0,8,5,8,738.0,0.0,0.0,0.0,0.0
2024,Maturity,CAF,Central African Republic,0,4,3,4,738.0,0.0,0.0,0.0,0.0
2024,Maturity,CAM,Cambodia,0,3,2,3,738.0,0.0,0.0,0.0,0.0
2024,Maturity,CAY,Cayman Islands,0,4,3,5,738.0,0.0,0.0,0.0,0.0
2024,Maturity,CGO,Congo (Brazzaville),0,4,3,4,738.0,0.0,0.0,0.0,0.0
2024,Maturity,CHA,Chad,0,3,3,3,738.0,0.0,0.0,0.0,0.0
2024,Maturity,CMR,Cameroon,0,6,4,6,738.0,0.0,0.0,0.0,0.0
2024,Maturity,COD,Congo (Kinshasa),0,6,4,6,738.0,0.0,0.0,0.0,0.0
2024,Maturity,COK,Cook Islands,0,2,2,2,738.0,0.0,0.0,0.0,0.0
2024,Maturity,COM,Comoros,0,4,3,5,738.0,0.0,0.0,0.0,0.0
2024,Maturity,CRC,Costa Rica,0,6,5,6,738.0,0.0,0.0,0.0,0.0
2024,Maturity,DJI,Djibouti,0,7,3,6,738.0,0.0,0.0,0.0,0.0
2024,Maturity,ERI,Eritrea,0,11,3,9,738.0,0.0,0.0,0.0,0.0
2024,Maturity,ESA,El Salvador,0,8,7,9,738.0,0.0,0.0,0.0,0.0
2024,Maturity,EST,Estonia,0,24,14,21,738.0,0.0,0.0,0.0,0.0
2024,Maturity,FIN,Finland,0,57,14,46,738.0,0.0,0.0,0.0,0.0
2024,Maturity,FSM,Federated States of Micronesia,0,3,2,3,738.0,0.0,0.0,0.0,0.0
2024,Maturity,GAB,Gabon,0,5,4,5,738.0,0.0,0.0,0.0,0.0
2024,Maturity,GAM,Gambia,0,7,4,8,738.0,0.0,0.0,0.0,0.0
2024,Maturity,GBS,Guinea Bissau,0,6,5,6,738.0,0.0,0.0,0.0,0.0
2024,Maturity,GEQ,Equatorial Guinea,0,3,2,3,738.0,0.0,0.0,0.0,0.0
2024,Maturity,GHA,Ghana,0,9,2,5,738.0,0.0,0.0,0.0,0.0
2024,Maturity,GUI,Guinea,0,25,5,7,738.0,0.0,0.0,0.0,0.0
2024,Maturity,GUM,Guam,0,7,6,9,738.0,0.0,0.0,0.0,0.0
2024,Maturity,GUY,Guyana,0,5,3,5,738.0,0.0,0.0,0.0,0.0
2024,Maturity,HAI,Haiti,0,7,5,12,738.0,0.0,0.0,0.0,0.0
2024,Maturity,HON,Honduras,0,4,3,4,738.0,0.0,0.0,0.0,0.0
2024,Maturity,IRQ,Iraq,0,23,5,5,738.0,0.0,0.0,0.0,0.0
2024,Maturity,ISL,Iceland,0,5,4,7,738.0,0.0,0.0,0.0,0.0
2024,Maturity,ISV,United States Virgin Islands,0,5,4,5,738.0,0.0,0.0,0.0,0.0
2024,Maturity,IVB,British Virgin Islands,0,4,2,4,738.0,0.0,0.0,0.0,0.0
2024,Maturity,KIR,Kiribati,0,3,3,3,738.0,0.0,0.0,0.0,0.0
2024,Maturity,KSA,Saudi Arabia,0,8,4,7,738.0,0.0,0.0,0.0,0.0
2024,Maturity,KUW,Kuwait,0,9,6,9,738.0,0.0,0.0,0.0,0.0
2024,Maturity,LAO,Laos,0,4,3,4,738.0,0.0,0.0,0.0,0.0
2024,Maturity,LAT,Latvia,0,29,14,23,738.0,0.0,0.0,0.0,0.0
2024,Maturity,LBA,Libya,0,6,5,6,738.0,0.0,0.0,0.0,0.0
2024,Maturity,LBN,Lebanon,0,9,7,9,738.0,0.0,0.0,0.0,0.0
2024,Maturity,LBR,Liberia,0,8,1,5,738.0,0.0,0.0,0.0,0.0
2024,Maturity,LES,Lesotho,0,3,2,3,738.0,0.0,0.0,0.0,0.0
2024,Maturity,LIE,Liechtenstein,0,1,1,1,738.0,0.0,0.0,0.0,0.0
2024,Maturity,LUX,Luxembourg,0,13,7,12,738.0,0.0,0.0,0.0,0.0
2024,Maturity,MAD,Madagascar,0,7,5,7,738.0,0.0,0.0,0.0,0.0
2024,Maturity,MAW,Malawi,0,3,2,3,738.0,0.0,0.0,0.0,0.0
2024,Maturity,MDV,Maldives,0,5,4,4,738.0,0.0,0.0,0.0,0.0
2024,Maturity,MHL,Marshall Islands,0,4,3,4,738.0,0.0,0.0,0.0,0.0
2024,Maturity,MKD,Macedonia,0,6,6,6,738.0,0.0,0.0,0.0,0.0
2024,Maturity,MLI,Mali,0,24,5,6,738.0,0.0,0.0,0.0,0.0
2024,Maturity,MLT,Malta,0,5,4,5,738.0,0.0,0.0,0.0,0.0
2024,Maturity,MNE,Montenegro,0,19,6,7,738.0,0.0,0.0,0.0,0.0
2024,Maturity,MON,Monaco,0,6,6,6,738.0,0.0,0.0,0.0,0.0
2024,Maturity,MOZ,Mozambique,0,7,5,7,738.0,0.0,0.0,0.0,0.0
2024,Maturity,MRI,Mauritius,0,12,7,12,738.0,0.0,0.0,0.0,0.0
2024,Maturity,MTN,Mauritania,0,2,2,2,738.0,0.0,0.0,0.0,0.0
2024,Maturity,MYA,Myanmar,0,2,2,2,738.0,0.0,0.0,0.0,0.0
