Sport,Year,NOC,Real_MIT_Total,Pred_MIT_Total,Delta_MIT_Total,Pred_95_CI,Delta_95_CI,Pr_Delta_Pos,Pr_Delta_Neg
Volleyball Women,2008,USA,0.3333,0.0496,0.2837,"[0.0000, 0.4544]","[-0.1211, 0.3333]",0.9537,0.0463
Volleyball Women,2016,USA,0.3333,0.2022,0.1311,"[0.0000, 0.8424]","[-0.5091, 0.3333]",0.7419,0.2581
Athletics,2016,USA,0.227,0.1128,0.1141,"[0.0578, 0.1758]","[0.0512, 0.1691]",0.9988,0.0012
Rowing,2012,NZL,0.119,0.0587,0.0603,"[0.0000, 0.1779]","[-0.0589, 0.1190]",0.8605,0.1395
Judo,2012,JPN,0.125,0.1009,0.0241,"[0.0091, 0.1986]","[-0.0736, 0.1159]",0.7083,0.2917
Judo,2016,JPN,0.2143,0.0976,0.1167,"[0.0074, 0.1914]","[0.0229, 0.2069]",0.9913,0.0087
Judo,2020,JPN,0.2,0.155,0.045,"[0.0684, 0.2555]","[-0.0555, 0.1316]",0.832,0.168
Cycling Track,2008,GBR,0.4,0.1048,0.2952,"[0.0000, 0.3045]","[0.0955, 0.4000]",0.9956,0.0044
Volleyball Women,2008,CHN,0.3333,0.0914,0.242,"[0.0000, 0.6030]","[-0.2697, 0.3333]",0.9059,0.0941
Volleyball Women,2016,CHN,0.3333,0.051,0.2823,"[0.0000, 0.4674]","[-0.1341, 0.3333]",0.9506,0.0494
Wrestling,2016,AZE,0.125,0.0579,0.0671,"[0.0000, 0.1671]","[-0.0421, 0.1250]",0.9044,0.0956
