Year,Era,NOC,Country_Name,Is_Host,Athlete_Count,Sports_Participated_Count,Events_Participated_Count,Global_Total_Events,Gold,Total_Medals,Gold_Share,Medal_Share
1896,Early,GRE,Greece,1,102,9,39,107.0,10.0,47.0,0.23809523809523808,0.39166666666666666
1896,Early,USA,United States,0,14,3,16,107.0,11.0,20.0,0.2619047619047619,0.16666666666666666
1896,Early,GER,Germany,0,19,6,27,107.0,6.0,13.0,0.14285714285714285,0.10833333333333334
1896,Early,FRA,France,0,12,6,18,107.0,5.0,11.0,0.11904761904761904,0.09166666666666666
1896,Early,GBR,Great Britain,0,10,7,19,107.0,2.0,7.0,0.047619047619047616,0.058333333333333334
1896,Early,DEN,Denmark,0,3,5,12,107.0,1.0,6.0,0.023809523809523808,0.05
1896,Early,HUN,Hungary,0,7,6,14,107.0,2.0,6.0,0.047619047619047616,0.05
1896,Early,AUT,Austria,0,3,3,8,107.0,2.0,5.0,0.047619047619047616,0.041666666666666664
1896,Early,SUI,Switzerland,0,3,2,5,107.0,1.0,3.0,0.023809523809523808,0.025
1896,Early,AUS,Australia,0,1,2,5,107.0,2.0,2.0,0.047619047619047616,0.016666666666666666
1896,Early,ITA,Italy,0,1,1,1,107.0,0.0,0.0,0.0,0.0
1896,Early,SWE,Sweden,0,1,2,5,107.0,0.0,0.0,0.0,0.0
1900,Early,FRA,France,1,715,19,81,236.0,27.0,103.0,0.3068181818181818,0.3886792452830189
1900,Early,USA,United States,0,75,10,41,236.0,19.0,48.0,0.2159090909090909,0.1811320754716981
1900,Early,GBR,Great Britain,0,104,16,39,236.0,15.0,31.0,0.17045454545454544,0.1169811320754717
1900,Early,BEL,Belgium,0,64,10,31,236.0,6.0,17.0,0.06818181818181818,0.06415094339622641
1900,Early,GER,Germany,0,76,10,27,236.0,4.0,9.0,0.045454545454545456,0.033962264150943396
1900,Early,SUI,Switzerland,0,18,4,14,236.0,6.0,9.0,0.06818181818181818,0.033962264150943396
1900,Early,AUT,Austria,0,16,4,17,236.0,0.0,6.0,0.0,0.022641509433962263
1900,Early,DEN,Denmark,0,13,5,14,236.0,1.0,6.0,0.011363636363636364,0.022641509433962263
1900,Early,AUS,Australia,0,2,2,6,236.0,2.0,5.0,0.022727272727272728,0.018867924528301886
1900,Early,HUN,Hungary,0,18,4,21,236.0,1.0,5.0,0.011363636363636364,0.018867924528301886
1900,Early,ITA,Italy,0,23,6,17,236.0,3.0,5.0,0.03409090909090909,0.018867924528301886
1900,Early,NED,Netherlands,0,35,7,18,236.0,0.0,5.0,0.0,0.018867924528301886
1900,Early,NOR,Norway,0,7,2,9,236.0,0.0,5.0,0.0,0.018867924528301886
1900,Early,BOH,Bohemia,0,7,4,9,236.0,0.0,2.0,0.0,0.007547169811320755
1900,Early,CAN,Canada,0,4,1,5,236.0,1.0,2.0,0.011363636363636364,0.007547169811320755
1900,Early,CUB,Cuba,0,1,1,2,236.0,1.0,2.0,0.011363636363636364,0.007547169811320755
1900,Early,IND,India,0,1,1,5,236.0,0.0,2.0,0.0,0.007547169811320755
1900,Early,ESP,Spain,0,9,4,7,236.0,1.0,1.0,0.011363636363636364,0.0037735849056603774
1900,Early,LUX,Luxembourg,0,1,1,1,236.0,1.0,1.0,0.011363636363636364,0.0037735849056603774
1900,Early,SWE,Sweden,0,10,4,16,236.0,0.0,1.0,0.0,0.0037735849056603774
1900,Early,ARG,Argentina,0,1,1,1,236.0,0.0,0.0,0.0,0.0
1900,Early,BRA,Brazil,0,1,1,3,236.0,0.0,0.0,0.0,0.0
1900,Early,COL,Colombia,0,1,1,1,236.0,0.0,0.0,0.0,0.0
1900,Early,GRE,Greece,0,3,2,3,236.0,0.0,0.0,0.0,0.0
1900,Early,HAI,Haiti,0,3,2,4,236.0,0.0,0.0,0.0,0.0
1900,Early,IRI,Iran,0,1,1,1,236.0,0.0,0.0,0.0,0.0
1900,Early,MEX,Mexico,0,1,1,1,236.0,0.0,0.0,0.0,0.0
1900,Early,NZL,New Zealand,0,1,1,1,236.0,0.0,0.0,0.0,0.0
1900,Early,PER,Peru,0,1,1,2,236.0,0.0,0.0,0.0,0.0
1900,Early,ROU,Romania,0,1,1,1,236.0,0.0,0.0,0.0,0.0
1900,Early,RUS,Russia,0,4,2,3,236.0,0.0,0.0,0.0,0.0
1904,Early,USA,United States,1,518,18,95,224.0,76.0,231.0,0.8,0.8369565217391305
1904,Early,GER,Germany,0,22,9,25,224.0,4.0,15.0,0.042105263157894736,0.05434782608695652
1904,Early,CAN,Canada,0,55,6,15,224.0,4.0,6.0,0.042105263157894736,0.021739130434782608
1904,Early,AUS,Australia,0,2,2,6,224.0,0.0,4.0,0.0,0.014492753623188406
1904,Early,HUN,Hungary,0,4,2,9,224.0,2.0,4.0,0.021052631578947368,0.014492753623188406
1904,Early,AUT,Austria,0,2,2,7,224.0,1.0,3.0,0.010526315789473684,0.010869565217391304
1904,Early,CUB,Cuba,0,3,2,5,224.0,3.0,3.0,0.031578947368421054,0.010869565217391304
1904,Early,SUI,Switzerland,0,3,2,4,224.0,1.0,3.0,0.010526315789473684,0.010869565217391304
1904,Early,GBR,Great Britain,0,6,3,4,224.0,1.0,2.0,0.010526315789473684,0.007246376811594203
1904,Early,GRE,Greece,0,14,3,5,224.0,1.0,2.0,0.010526315789473684,0.007246376811594203
1904,Early,NOR,Norway,0,3,2,6,224.0,2.0,2.0,0.021052631578947368,0.007246376811594203
1904,Early,FRA,France,0,1,1,2,224.0,0.0,1.0,0.0,0.0036231884057971015
1904,Early,ITA,Italy,0,1,1,1,224.0,0.0,0.0,0.0,0.0
1904,Early,NFL,Newfoundland,0,1,1,1,224.0,0.0,0.0,0.0,0.0
1904,Early,RSA,South Africa,0,8,2,2,224.0,0.0,0.0,0.0,0.0
1908,Early,GBR,Great Britain,1,732,24,108,267.0,56.0,146.0,0.509090909090909,0.4506172839506173
1908,Early,USA,United States,0,119,10,52,267.0,23.0,47.0,0.20909090909090908,0.14506172839506173
1908,Early,SWE,Sweden,0,164,14,67,267.0,8.0,25.0,0.07272727272727272,0.07716049382716049
1908,Early,FRA,France,0,208,13,54,267.0,5.0,19.0,0.045454545454545456,0.05864197530864197
1908,Early,CAN,Canada,0,87,11,42,267.0,3.0,16.0,0.02727272727272727,0.04938271604938271
1908,Early,GER,Germany,0,82,12,41,267.0,3.0,13.0,0.02727272727272727,0.040123456790123455
1908,Early,HUN,Hungary,0,65,8,37,267.0,3.0,9.0,0.02727272727272727,0.027777777777777776
1908,Early,BEL,Belgium,0,70,11,33,267.0,1.0,8.0,0.00909090909090909,0.024691358024691357
1908,Early,NOR,Norway,0,69,7,23,267.0,2.0,8.0,0.01818181818181818,0.024691358024691357
1908,Early,ANZ,Australasia,0,30,6,20,267.0,1.0,5.0,0.00909090909090909,0.015432098765432098
1908,Early,DEN,Denmark,0,78,8,27,267.0,0.0,5.0,0.0,0.015432098765432098
1908,Early,FIN,Finland,0,62,6,23,267.0,1.0,5.0,0.00909090909090909,0.015432098765432098
1908,Early,GRE,Greece,0,20,3,25,267.0,0.0,4.0,0.0,0.012345679012345678
1908,Early,ITA,Italy,0,66,8,30,267.0,2.0,4.0,0.01818181818181818,0.012345679012345678
1908,Early,RUS,Russia,0,6,3,7,267.0,1.0,3.0,0.00909090909090909,0.009259259259259259
1908,Early,BOH,Bohemia,0,19,5,15,267.0,0.0,2.0,0.0,0.006172839506172839
1908,Early,NED,Netherlands,0,113,11,45,267.0,0.0,2.0,0.0,0.006172839506172839
1908,Early,RSA,South Africa,0,14,4,15,267.0,1.0,2.0,0.00909090909090909,0.006172839506172839
1908,Early,AUT,Austria,0,7,4,10,267.0,0.0,1.0,0.0,0.0030864197530864196
1908,Early,ARG,Argentina,0,1,1,1,267.0,0.0,0.0,0.0,0.0
1908,Early,ISL,Iceland,0,1,1,1,267.0,0.0,0.0,0.0,0.0
1908,Early,SUI,Switzerland,0,1,1,1,267.0,0.0,0.0,0.0,0.0
1912,Early,SWE,Sweden,1,434,16,95,236.0,23.0,65.0,0.22549019607843138,0.20833333333333334
1912,Early,USA,United States,0,172,11,68,236.0,26.0,64.0,0.2549019607843137,0.20512820512820512
1912,Early,GBR,Great Britain,0,273,16,79,236.0,10.0,41.0,0.09803921568627451,0.13141025641025642
1912,Early,FIN,Finland,0,164,10,49,236.0,9.0,26.0,0.08823529411764706,0.08333333333333333
1912,Early,GER,Germany,0,185,14,69,236.0,5.0,25.0,0.049019607843137254,0.08012820512820513
1912,Early,FRA,France,0,119,13,66,236.0,7.0,14.0,0.06862745098039216,0.04487179487179487
1912,Early,DEN,Denmark,0,147,13,46,236.0,1.0,12.0,0.00980392156862745,0.038461538461538464
1912,Early,NOR,Norway,0,190,14,58,236.0,3.0,10.0,0.029411764705882353,0.03205128205128205
1912,Early,CAN,Canada,0,37,7,30,236.0,3.0,8.0,0.029411764705882353,0.02564102564102564
1912,Early,HUN,Hungary,0,121,11,52,236.0,3.0,8.0,0.029411764705882353,0.02564102564102564
1912,Early,ANZ,Australasia,0,25,4,17,236.0,2.0,7.0,0.0196078431372549,0.022435897435897436
1912,Early,BEL,Belgium,0,36,9,23,236.0,2.0,6.0,0.0196078431372549,0.019230769230769232
