Year,Era,NOC,Country_Name,Is_Host,Athlete_Count,Sports_Participated_Count,Events_Participated_Count,Global_Total_Events,Gold,Total_Medals,Gold_Share,Medal_Share
1948,Formation,USA,United States,0,289,19,126,312.0,38.0,84.0,0.2753623188405797,0.20437956204379562
1948,Formation,SWE,Sweden,0,180,18,100,312.0,16.0,44.0,0.11594202898550725,0.1070559610705596
1948,Formation,FRA,France,0,316,20,135,312.0,10.0,29.0,0.07246376811594203,0.0705596107055961
1948,Formation,HUN,Hungary,0,128,15,76,312.0,10.0,27.0,0.07246376811594203,0.06569343065693431
1948,Formation,ITA,Italy,0,215,16,89,312.0,8.0,27.0,0.057971014492753624,0.06569343065693431
1948,Formation,GBR,Great Britain,1,406,20,139,312.0,3.0,23.0,0.021739130434782608,0.05596107055961071
1948,Formation,DEN,Denmark,0,160,17,83,312.0,5.0,20.0,0.036231884057971016,0.04866180048661801
1948,Formation,FIN,Finland,0,129,16,84,312.0,8.0,20.0,0.057971014492753624,0.04866180048661801
1948,Formation,SUI,Switzerland,0,186,19,98,312.0,5.0,20.0,0.036231884057971016,0.04866180048661801
1948,Formation,NED,Netherlands,0,149,18,74,312.0,5.0,16.0,0.036231884057971016,0.038929440389294405
1948,Formation,AUS,Australia,0,75,11,52,312.0,2.0,13.0,0.014492753623188406,0.031630170316301706
1948,Formation,TUR,Turkey,0,58,7,42,312.0,6.0,12.0,0.043478260869565216,0.029197080291970802
1948,Formation,TCH,Czechoslovakia,0,87,11,57,312.0,6.0,11.0,0.043478260869565216,0.0267639902676399
1948,Formation,ARG,Argentina,0,199,16,101,312.0,3.0,7.0,0.021739130434782608,0.0170316301703163
1948,Formation,BEL,Belgium,0,151,17,77,312.0,2.0,7.0,0.014492753623188406,0.0170316301703163
1948,Formation,NOR,Norway,0,81,12,50,312.0,1.0,7.0,0.007246376811594203,0.0170316301703163
1948,Formation,EGY,Egypt,0,85,12,53,312.0,2.0,5.0,0.014492753623188406,0.012165450121654502
1948,Formation,MEX,Mexico,0,88,14,57,312.0,2.0,5.0,0.014492753623188406,0.012165450121654502
1948,Formation,AUT,Austria,0,148,17,79,312.0,1.0,4.0,0.007246376811594203,0.009732360097323601
1948,Formation,RSA,South Africa,0,35,10,34,312.0,2.0,4.0,0.014492753623188406,0.009732360097323601
1948,Formation,CAN,Canada,0,127,13,83,312.0,0.0,3.0,0.0,0.0072992700729927005
1948,Formation,JAM,Jamaica,0,13,3,14,312.0,1.0,3.0,0.007246376811594203,0.0072992700729927005
1948,Formation,KOR,South Korea,0,46,7,24,312.0,0.0,2.0,0.0,0.004866180048661801
1948,Formation,PAN,Panama,0,1,1,2,312.0,0.0,2.0,0.0,0.004866180048661801
1948,Formation,POR,Portugal,0,48,8,22,312.0,0.0,2.0,0.0,0.004866180048661801
1948,Formation,URU,Uruguay,0,61,11,32,312.0,0.0,2.0,0.0,0.004866180048661801
1948,Formation,YUG,Yugoslavia,0,90,8,35,312.0,0.0,2.0,0.0,0.004866180048661801
1948,Formation,BRA,Brazil,0,70,11,41,312.0,0.0,1.0,0.0,0.0024330900243309003
1948,Formation,CUB,Cuba,0,53,12,31,312.0,0.0,1.0,0.0,0.0024330900243309003
1948,Formation,ESP,Spain,0,65,11,37,312.0,0.0,1.0,0.0,0.0024330900243309003
1948,Formation,IND,India,0,79,10,39,312.0,1.0,1.0,0.007246376811594203,0.0024330900243309003
1948,Formation,IRI,Iran,0,36,5,23,312.0,0.0,1.0,0.0,0.0024330900243309003
1948,Formation,PER,Peru,0,41,7,26,312.0,1.0,1.0,0.007246376811594203,0.0024330900243309003
1948,Formation,POL,Poland,0,38,5,28,312.0,0.0,1.0,0.0,0.0024330900243309003
1948,Formation,PUR,Puerto Rico,0,9,3,8,312.0,0.0,1.0,0.0,0.0024330900243309003
1948,Formation,TTO,Trinidad and Tobago,0,5,3,9,312.0,0.0,1.0,0.0,0.0024330900243309003
1948,Formation,AFG,Afghanistan,0,22,2,2,312.0,0.0,0.0,0.0,0.0
1948,Formation,BER,Bermuda,0,12,3,13,312.0,0.0,0.0,0.0,0.0
1948,Formation,CHI,Chile,0,54,9,31,312.0,0.0,0.0,0.0,0.0
1948,Formation,CHN,China,0,31,6,12,312.0,0.0,0.0,0.0,0.0
1948,Formation,COL,Colombia,0,6,3,6,312.0,0.0,0.0,0.0,0.0
1948,Formation,GRE,Greece,0,61,10,44,312.0,0.0,0.0,0.0,0.0
1948,Formation,GUY,Guyana,0,4,3,7,312.0,0.0,0.0,0.0,0.0
1948,Formation,IRL,Ireland,0,73,10,34,312.0,0.0,0.0,0.0,0.0
1948,Formation,IRQ,Iraq,0,11,2,4,312.0,0.0,0.0,0.0,0.0
1948,Formation,ISL,Iceland,0,19,3,18,312.0,0.0,0.0,0.0,0.0
1948,Formation,LIB,Lebanon,0,8,3,9,312.0,0.0,0.0,0.0,0.0
1948,Formation,LIE,Liechtenstein,0,2,1,1,312.0,0.0,0.0,0.0,0.0
1948,Formation,LUX,Luxembourg,0,45,8,32,312.0,0.0,0.0,0.0,0.0
1948,Formation,MLT,Malta,0,1,1,1,312.0,0.0,0.0,0.0,0.0
1948,Formation,MON,Monaco,0,4,1,2,312.0,0.0,0.0,0.0,0.0
1948,Formation,MYA,Myanmar,0,4,3,5,312.0,0.0,0.0,0.0,0.0
