Year,Era,NOC,Country_Name,Is_Host,Athlete_Count,Sports_Participated_Count,Events_Participated_Count,Global_Total_Events,Gold,Total_Medals,Gold_Share,Medal_Share
1992,Maturity,RUS,Russia,0,474,27,234,573.0,45.0,112.0,0.17307692307692307,0.1374233128834356
1992,Maturity,USA,United States,0,540,28,248,573.0,37.0,108.0,0.1423076923076923,0.1325153374233129
1992,Maturity,GER,Germany,0,463,26,237,573.0,33.0,82.0,0.12692307692307692,0.10061349693251534
1992,Maturity,CHN,China,0,243,23,144,573.0,16.0,54.0,0.06153846153846154,0.06625766871165645
1992,Maturity,CUB,Cuba,0,176,16,90,573.0,14.0,31.0,0.05384615384615385,0.03803680981595092
1992,Maturity,HUN,Hungary,0,215,23,156,573.0,11.0,30.0,0.04230769230769231,0.03680981595092025
1992,Maturity,FRA,France,0,339,25,196,573.0,8.0,29.0,0.03076923076923077,0.03558282208588957
1992,Maturity,KOR,South Korea,0,225,24,134,573.0,12.0,29.0,0.046153846153846156,0.03558282208588957
1992,Maturity,AUS,Australia,0,278,25,153,573.0,7.0,27.0,0.026923076923076925,0.033128834355828224
1992,Maturity,ESP,Spain,1,412,29,195,573.0,13.0,22.0,0.05,0.026993865030674847
1992,Maturity,JPN,Japan,0,256,24,166,573.0,3.0,22.0,0.011538461538461539,0.026993865030674847
1992,Maturity,GBR,Great Britain,0,371,23,203,573.0,5.0,20.0,0.019230769230769232,0.024539877300613498
1992,Maturity,ITA,Italy,0,304,26,169,573.0,6.0,19.0,0.023076923076923078,0.023312883435582823
1992,Maturity,POL,Poland,0,201,21,136,573.0,3.0,19.0,0.011538461538461539,0.023312883435582823
1992,Maturity,CAN,Canada,0,295,24,199,573.0,7.0,18.0,0.026923076923076925,0.022085889570552148
1992,Maturity,ROU,Romania,0,173,18,128,573.0,4.0,18.0,0.015384615384615385,0.022085889570552148
1992,Maturity,BUL,Bulgaria,0,136,19,116,573.0,3.0,16.0,0.011538461538461539,0.0196319018404908
1992,Maturity,NED,Netherlands,0,201,20,105,573.0,2.0,15.0,0.007692307692307693,0.018404907975460124
1992,Maturity,SWE,Sweden,0,186,22,121,573.0,1.0,12.0,0.0038461538461538464,0.014723926380368098
1992,Maturity,NZL,New Zealand,0,134,17,87,573.0,1.0,10.0,0.0038461538461538464,0.012269938650306749
