Year,Era,NOC,Country_Name,Is_Host,Athlete_Count,Sports_Participated_Count,Events_Participated_Count,Global_Total_Events,Gold,Total_Medals,Gold_Share,Medal_Share,Lagged_Total_Medals
1988,Formation,ASA,American Samoa,0,6,4,6,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,ASA,American Samoa,0,3,2,3,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,ASA,American Samoa,0,7,5,6,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,ASA,American Samoa,0,4,3,4,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,ASA,American Samoa,0,3,2,3,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,ASA,American Samoa,0,4,3,4,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,ASA,American Samoa,0,4,3,4,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,ASA,American Samoa,0,4,3,4,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,ASA,American Samoa,0,6,4,5,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,ASA,American Samoa,0,2,2,2,738.0,0.0,0.0,0.0,0.0,0.0
1976,Formation,AND,Andorra,0,3,2,2,444.0,0.0,0.0,0.0,0.0,0.0
1980,Formation,AND,Andorra,0,2,1,1,454.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,AND,Andorra,0,2,1,1,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,AND,Andorra,0,3,2,3,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,AND,Andorra,0,8,5,5,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,AND,Andorra,0,8,5,7,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,AND,Andorra,0,5,3,5,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,AND,Andorra,0,6,4,6,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,AND,Andorra,0,5,4,5,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,AND,Andorra,0,6,4,6,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,AND,Andorra,0,4,4,4,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,AND,Andorra,0,2,2,3,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,AND,Andorra,0,2,2,4,738.0,0.0,0.0,0.0,0.0,0.0
1980,Formation,ANG,Angola,0,11,3,14,454.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,ANG,Angola,0,24,4,27,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,ANG,Angola,0,28,6,21,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,ANG,Angola,0,28,5,8,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,ANG,Angola,0,30,5,7,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,ANG,Angola,0,30,5,5,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,ANG,Angola,0,32,6,8,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,ANG,Angola,0,33,6,10,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,ANG,Angola,0,26,7,10,682.0,0.0,0.0,0.0,0.0,0.0
2020,Maturity,ANG,Angola,0,20,5,6,761.0,0.0,0.0,0.0,0.0,0.0
2024,Maturity,ANG,Angola,0,25,7,10,738.0,0.0,0.0,0.0,0.0,0.0
1976,Formation,ANT,Antigua and Barbuda,0,10,2,11,444.0,0.0,0.0,0.0,0.0,0.0
1984,Formation,ANT,Antigua and Barbuda,0,14,3,17,492.0,0.0,0.0,0.0,0.0,0.0
1988,Formation,ANT,Antigua and Barbuda,0,15,4,19,528.0,0.0,0.0,0.0,0.0,0.0
1992,Maturity,ANT,Antigua and Barbuda,0,13,3,15,573.0,0.0,0.0,0.0,0.0,0.0
1996,Maturity,ANT,Antigua and Barbuda,0,13,4,9,604.0,0.0,0.0,0.0,0.0,0.0
2000,Maturity,ANT,Antigua and Barbuda,0,3,2,4,667.0,0.0,0.0,0.0,0.0,0.0
2004,Maturity,ANT,Antigua and Barbuda,0,5,2,5,669.0,0.0,0.0,0.0,0.0,0.0
2008,Maturity,ANT,Antigua and Barbuda,0,5,2,5,673.0,0.0,0.0,0.0,0.0,0.0
2012,Maturity,ANT,Antigua and Barbuda,0,4,2,4,670.0,0.0,0.0,0.0,0.0,0.0
2016,Maturity,ANT,Antigua and Barbuda,0,8,2,5,682.0,0.0,0.0,0.0,0.0,0.0
