Year,Era,NOC,Country_Name,Is_Host,Athlete_Count,Sports_Participated_Count,Events_Participated_Count,Global_Total_Events,Gold,Total_Medals,Gold_Share,Medal_Share,Lagged_Total_Medals,score,pi,lambda1,prob_break_zero
1988,Formation,ASA,American Samoa,0,6,4,6,528.0,0.0,0.0,0.0,0.0,0.0,2.2918,0.90819563775754,5.333992395002528,0.09136142738993933
1992,Maturity,ASA,American Samoa,0,3,2,3,573.0,0.0,0.0,0.0,0.0,0.0,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
1996,Maturity,ASA,American Samoa,0,7,5,6,604.0,0.0,0.0,0.0,0.0,0.0,2.3259,0.9109994707531521,5.333992395002528,0.08857112224119706
2000,Maturity,ASA,American Samoa,0,4,3,4,667.0,0.0,0.0,0.0,0.0,0.0,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2004,Maturity,ASA,American Samoa,0,3,2,3,669.0,0.0,0.0,0.0,0.0,0.0,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
2008,Maturity,ASA,American Samoa,0,4,3,4,673.0,0.0,0.0,0.0,0.0,0.0,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2012,Maturity,ASA,American Samoa,0,4,3,4,670.0,0.0,0.0,0.0,0.0,0.0,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2016,Maturity,ASA,American Samoa,0,4,3,4,682.0,0.0,0.0,0.0,0.0,0.0,2.6643,0.9348869120799613,5.333992395002528,0.06479893230378528
2020,Maturity,ASA,American Samoa,0,6,4,5,761.0,0.0,0.0,0.0,0.0,0.0,2.2918,0.90819563775754,5.333992395002528,0.09136142738993933
2024,Maturity,ASA,American Samoa,0,2,2,2,738.0,0.0,0.0,0.0,0.0,0.0,3.0367999999999995,0.9542092114897665,5.333992395002528,0.04556985852760353
1976,Formation,AND,Andorra,0,3,2,2,444.0,0.0,0.0,0.0,0.0,0.0,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
1980,Formation,AND,Andorra,0,2,1,1,454.0,0.0,0.0,0.0,0.0,0.0,2.5961,0.9306101601331909,5.333992395002528,0.06905504990980614
1984,Formation,AND,Andorra,0,2,1,1,492.0,0.0,0.0,0.0,0.0,0.0,2.5961,0.9306101601331909,5.333992395002528,0.06905504990980614
1988,Formation,AND,Andorra,0,3,2,3,528.0,0.0,0.0,0.0,0.0,0.0,2.6302,0.9327800907762442,5.333992395002528,0.06689558868112354
1992,Maturity,AND,Andorra,0,8,5,5,573.0,0.0,0.0,0.0,0.0,0.0,1.9192999999999998,0.8720603542543337,5.333992395002528,0.12732236649296322
1996,Maturity,AND,Andorra,0,8,5,7,604.0,0.0,0.0,0.0,0.0,0.0,1.9192999999999998,0.8720603542543337,5.333992395002528,0.12732236649296322
2000,Maturity,AND,Andorra,0,5,3,5,667.0,0.0,0.0,0.0,0.0,0.0,2.2577,0.9053126549625738,5.333992395002528,0.09423050045852735
2004,Maturity,AND,Andorra,0,6,4,6,669.0,0.0,0.0,0.0,0.0,0.0,2.2918,0.90819563775754,5.333992395002528,0.09136142738993933
2008,Maturity,AND,Andorra,0,5,4,5,673.0,0.0,0.0,0.0,0.0,0.0,2.6984,0.9369321655598715,5.333992395002528,0.06276354669971854
2012,Maturity,AND,Andorra,0,6,4,6,670.0,0.0,0.0,0.0,0.0,0.0,2.2918,0.90819563775754,5.333992395002528,0.09136142738993933
2016,Maturity,AND,Andorra,0,4,4,4,682.0,0.0,0.0,0.0,0.0,0.0,3.1049999999999995,0.9570985196432062,5.333992395002528,0.04269449061893609
2020,Maturity,AND,Andorra,0,2,2,3,761.0,0.0,0.0,0.0,0.0,0.0,3.0367999999999995,0.9542092114897665,5.333992395002528,0.04556985852760353
2024,Maturity,AND,Andorra,0,2,2,4,738.0,0.0,0.0,0.0,0.0,0.0,3.0367999999999995,0.9542092114897665,5.333992395002528,0.04556985852760353
1980,Formation,ANG,Angola,0,11,3,14,454.0,0.0,0.0,0.0,0.0,0.0,-0.18190000000000017,0.45464997476006597,5.333992395002528,0.5427188372756426
1988,Formation,ANG,Angola,0,24,4,27,528.0,0.0,0.0,0.0,0.0,0.0,-5.026999999999999,0.006515723368361958,5.333992395002528,0.988690944367216
1992,Maturity,ANG,Angola,0,28,6,21,573.0,0.0,0.0,0.0,0.0,0.0,-5.772,0.003103860290259886,5.333992395002528,0.9920863459936788
1996,Maturity,ANG,Angola,0,28,5,8,604.0,0.0,0.0,0.0,0.0,0.0,-6.2127,0.0019998125758849297,5.333992395002528,0.9931850669327287
2000,Maturity,ANG,Angola,0,30,5,7,667.0,0.0,0.0,0.0,0.0,0.0,-7.0259,0.0008877785977595452,5.333992395002528,0.9942917356036499
2004,Maturity,ANG,Angola,0,30,5,5,669.0,0.0,0.0,0.0,0.0,0.0,-7.0259,0.0008877785977595452,5.333992395002528,0.9942917356036499
2008,Maturity,ANG,Angola,0,32,6,8,673.0,0.0,0.0,0.0,0.0,0.0,-7.3984000000000005,0.0006118569502403371,5.333992395002528,0.9945663259929232
2012,Maturity,ANG,Angola,0,33,6,10,670.0,0.0,0.0,0.0,0.0,0.0,-7.805,0.0004075252726906522,5.333992395002528,0.9947696718173038
2016,Maturity,ANG,Angola,0,26,7,10,682.0,0.0,0.0,0.0,0.0,0.0,-4.5181000000000004,0.010791994705496567,5.333992395002528,0.9844353050520005
2020,Maturity,ANG,Angola,0,20,5,6,761.0,0.0,0.0,0.0,0.0,0.0,-2.9598999999999993,0.04927069018182384,5.333992395002528,0.9461422603975914
2024,Maturity,ANG,Angola,0,25,7,10,738.0,0.0,0.0,0.0,0.0,0.0,-4.111500000000001,0.01611909918938519,5.333992395002528,0.9791339026173533
1976,Formation,ANT,Antigua and Barbuda,0,10,2,11,444.0,0.0,0.0,0.0,0.0,0.0,-0.21599999999999997,0.44620897705079826,5.333992395002528,0.5511191091197755
1984,Formation,ANT,Antigua and Barbuda,0,14,3,17,492.0,0.0,0.0,0.0,0.0,0.0,-1.4017000000000004,0.19754648569075878,5.333992395002528,0.7985818613688661
