Sport,Year,NOC,Gold,Silver,Bronze,Total,Total_Medals_In_Sport,Total_Golds_In_Sport,Real_MIT_Total,Real_MIT_Gold
Cycling Track,2008,GBR,7,3,2,12,30,10,0.4,0.7
Cycling Track,2012,GBR,7,1,1,9,31,10,0.2903225806451613,0.7
Judo,2012,JPN,4,1,2,7,56,14,0.125,0.2857142857142857
Judo,2016,JPN,3,1,8,12,56,14,0.21428571428571427,0.21428571428571427
Judo,2020,JPN,9,2,1,12,60,15,0.2,0.6
Judo,2024,JPN,3,2,3,8,60,15,0.13333333333333333,0.2
Volleyball Women,2008,USA,0,1,0,1,3,1,0.3333333333333333,0.0
Volleyball Women,2008,CHN,0,0,1,1,3,1,0.3333333333333333,0.0
Volleyball Women,2016,CHN,1,0,0,1,3,1,0.3333333333333333,1.0
Volleyball Women,2016,USA,0,0,1,1,3,1,0.3333333333333333,0.0
