Sport,Intercept,b_lnAth,b_lnEvt,b_host,b_lag,sigma,Converged,NegLogL,n_obs
Archery,-1.2501580589554444,0.5880061705872518,0.08770058763833823,-0.02964589034494524,0.8631368320658731,0.31319255665838264,True,88.04056175147089,600
Art Competitions,-0.12448340441015227,0.021558342134061343,0.0692395281473465,0.02,-0.1182796243648258,0.1238959407712049,True,-6.384618879402485,147
Artistic Gymnastics,-0.024869176587626413,0.08210274242430271,-0.04780351220408852,0.0074378163734212235,0.9003683496045801,0.05796342148429333,True,-22.508035305345444,110
Artistic Swimming,-1.2032083019755846,0.23373212339355232,0.5235947216344481,-0.6154805743137514,0.67206169557008,0.7909321416087398,True,16.432868669733537,40
Athletics,-0.13164685818936753,0.026100867881425485,0.01560274048168963,-0.026586041753729583,0.7741082319800222,0.051447675709820416,True,-705.6821084371376,2957
Badminton,-0.4434155912897002,0.22540504561145763,-0.050194275133552284,0.010739547317633989,0.6018967603646049,0.11802469438564002,True,-3.493898544667971,379
Baseball,-0.015607652215826674,-0.03253586564692932,0.01,-1.5843996763694306,0.9514340995393965,0.32818189704783896,True,18.044919364987695,40
Basketball,-0.5527242068427793,-0.05861228594014024,0.9879252058615284,-0.020745963455040418,1.26327135446325,0.6657524571846084,True,138.07666693006936,356
Beach Volleyball,-0.65993183041257,0.35766797288128455,-0.16974080050807552,0.05837174482698186,0.7077082172361593,0.23385794753899578,True,40.11995156759975,186
Boxing,-0.1465827634320089,0.31622138632071783,-0.24781093682840638,0.03437527253161621,0.5889647035473091,0.07347615020179607,True,-217.55930731408802,1487
Canoe Slalom,-0.43039613361108314,0.22418772480403573,0.09008128112107758,-0.04717032919595602,0.003982178999625491,0.1332226978653681,True,2.9147961008293333,66
Canoe Sprint,-0.08490478612212635,0.041821607368222914,0.009843502066127902,-0.7275230120202537,0.7351781383277742,0.042409123527681676,True,-40.34597075488976,101
Canoeing,-0.15724574624149348,0.02833130444864737,0.0422621955448207,-0.009861815182276076,0.662993898227477,0.0780686495943419,True,-119.58366150414258,652
